schema_name,field_name,field_value,equality_operator,is_getgroupfromschema2,getgroupfromschema2_target
TCostAllocationValue,CostAllocationMethod,*,EQ,False,
TCostAllocationValue,linkref,*,EQ,False,
AP,OrganizationName,*,EQ,False,
AP,StrategyName,*,EQ,False,
AP,LOB,*,EQ,False,
AP,Function,*,EQ,False,
AP,ActivityCategory,*,EQ,False,
AP,ActivityType,*,EQ,False,
AP,ActivityName,*,EQ,False,
AP,ActivityCode,*,EQ,False,
AP,Dependency,*,EQ,False,
AP,ForPrdFrom,*,EQ,False,
AP,ForPrdTo,*,EQ,False,
AP,ActivityStatus,*,EQ,False,
AP,TimeinMins,*,EQ,False,
AP,TimeinDays,*,EQ,False,
BillWF,receivername,*,EQ,False,
BillWF,TransactionStatus,*,EQ,False,
BillWF,documentnumber,*,EQ,False,
BillWF,CostAllocationMethod,*,EQ,False,
BillWF,Linkref2,*,EQ,False,
BillWF,documentref,*,EQ,False,
BillWF,Function,*,EQ,False,
AD,AccountType,*,EQ,False,
AD,ItemType,*,EQ,False,
AD,accountgroup,*,EQ,False,
AD,accountclass,*,EQ,False,
AD,MISGrouping,*,EQ,False,
AD,coa,*,EQ,False,
AD,accountcode,*,EQ,False,
AD,ledgername,*,EQ,False,
AD,ForPrdFrom,*,EQ,False,
AD,ForPrdTo,*,EQ,False,
IM,OrganizationName,*,EQ,False,
IM,ItemId,*,EQ,False,
IM,Itemname,*,EQ,False,
IM,Itemprefix,*,EQ,False,
IM,Itemtype,*,EQ,False,
IM,accountgroup,*,EQ,False,
IM,accountclass,*,EQ,False,
IM,ForPrdFrom,*,EQ,False,
IM,ForPrdTo,*,EQ,False,
IM,taxpreference,*,EQ,False,
IM,SectionName,*,EQ,False,
IM,costallocationmethod,*,EQ,False,
IM,department,*,EQ,False,
VM,memberid,*,EQ,False,
VM,membertype,*,EQ,False,
VM,membergroup,*,EQ,False,
VM,organizationname,*,EQ,False,
VM,vendortaxclassification,*,EQ,False,
VM,taxpreference,*,EQ,False,
VM,selectatax,*,EQ,False,
VM,section,*,EQ,False,
VM,gsttreatment,*,EQ,False,
VM,ledgername,*,EQ,False,
VM,ForPrdFrom,*,EQ,False,
VM,ForPrdTo,*,EQ,False,
VM,gstin,*,EQ,False,
VM,ledgercategory,*,EQ,False,
VM,MDledgername,*,EQ,False,
ProcessedTDSAmtinGSE,createdid,*,EQ,False,
ProcessedTDSAmtinGSE,accountclass,*,EQ,False,
ProcessedTDSAmtinGSE,itemid,*,EQ,False,
ProcessedTDSAmtinGSE,linkref2,*,EQ,False,
ProcessedTDSAmtinGSE,senderaccount,*,EQ,False,
ProcessedTDSAmtinGSE,taxpreference,*,EQ,False,
ProcessedTDSAmtinGSE,itemid,*,EQ,False,
ProcessedTDSAmtinGSE,ForPrdFrom,*,EQ,False,
ProcessedTDSAmtinGSE,ForPrdTo,*,EQ,False,
ProcessedTDSAmtinGSE,accounttype,*,EQ,False,
ProcessedTDSAmtinGSE,itemtype,*,EQ,False,
ProcessedTDSAmtinGSE,accountgroup,*,EQ,False,
ProcessedTDSAmtinGSE,ledgername,*,EQ,False,
ProcessedTDSAmtinGSE,COA,*,EQ,False,
ProcessedTDSAmtinGSE,accountcode,*,EQ,False,
ReversalTDS,sendername,*,EQ,False,
ReversalTDS,senderaccount,*,EQ,False,
ReversalTDS,receivername,*,EQ,False,
ReversalTDS,Linkref,*,EQ,False,
ReversalTDS,ForPrdFrom,*,EQ,False,
ReversalTDS,ForPrdTo,*,EQ,False,
ReversalTDS,category,"[""ProvAc""]",NI,False,
ReversalTDS,Itemid,*,EQ,False,
ReversalTDS,TransactionStatus,*,EQ,False,
ReversalTDS,Linktype,*,EQ,False,
ReversalTDS,Documentnumber,*,EQ,False,
ReversalTDS,documentref,*,EQ,False,
ReversalTDS,Reference3,*,EQ,False,
ReversalTDS,lineref,*,EQ,False,
ReversalProvisionExpAcc,sendername,*,EQ,False,
ReversalProvisionExpAcc,senderaccount,*,EQ,False,
ReversalProvisionExpAcc,receivername,*,EQ,False,
ReversalProvisionExpAcc,Linkref,*,EQ,False,
ReversalProvisionExpAcc,ForPrdFrom,*,EQ,False,
ReversalProvisionExpAcc,ForPrdTo,*,EQ,False,
ReversalProvisionExpAcc,category,"[""ProvAc""]",NI,False,
ReversalProvisionExpAcc,Itemid,*,EQ,False,
ReversalProvisionExpAcc,Linktype,ServiceReceipt,EQ,False,
ReversalProvisionExpAcc,Documentnumber,*,EQ,False,
ReversalProvisionExpAcc,documentref,*,EQ,False,
ReversalProvisionExpAcc,Reference3,*,EQ,False,
ReversalProvisionExpAcc,lineref,*,EQ,False,
ReversalProvision,sendername,*,EQ,False,
ReversalProvision,senderaccount,*,EQ,False,
ReversalProvision,receivername,*,EQ,False,
ReversalProvision,Linkref,*,EQ,False,
ReversalProvision,ForPrdFrom,*,EQ,False,
ReversalProvision,ForPrdTo,*,EQ,False,
ReversalProvision,category,"[""ProvAc""]",NI,False,
ReversalProvision,Itemid,*,EQ,False,
ReversalProvision,TransactionStatus,*,EQ,False,
ReversalProvision,Linktype,ServiceReceipt,EQ,False,
ReversalProvision,Documentnumber,*,EQ,False,
ReversalProvision,documentref,*,EQ,False,
ReversalProvision,Reference3,*,EQ,False,
ReversalProvision,lineref,*,EQ,False,
ProvisionReversalAccountingJournal,SchemaClasses,"[""ReversalProvision"", ""ReversalTDS"", ""ReversalProvisionExpAcc""]",IN,False,
ExpAccBill_I,sendername,*,EQ,False,
ExpAccBill_I,senderaccount,*,EQ,False,
ExpAccBill_I,receivername,*,EQ,False,
ExpAccBill_I,ForPrdFrom,*,EQ,False,
ExpAccBill_I,ForPrdTo,*,EQ,False,
ExpAccBill_I,category,*,EQ,False,
ExpAccBill_I,Itemid,*,EQ,False,
ExpAccBill_I,Linkref,*,EQ,False,
ExpAccBill_I,Linktype,*,EQ,False,
ExpAccBill_I,Documentnumber,*,EQ,False,
ExpAccBill_I,documentref,*,EQ,False,
ExpAccBill_I,costallocationmethod,*,EQ,False,
ExpAccBill_I,lineref,*,EQ,False,
GSTAccBill_I,sendername,*,EQ,False,
GSTAccBill_I,receivername,*,EQ,False,
GSTAccBill_I,ForPrdFrom,*,EQ,False,
GSTAccBill_I,ForPrdTo,*,EQ,False,
GSTAccBill_I,category,*,EQ,False,
GSTAccBill_I,Itemid,*,EQ,False,
GSTAccBill_I,Linkref,*,EQ,False,
GSTAccBill_I,Linktype,*,EQ,False,
GSTAccBill_I,Documentnumber,*,EQ,False,
GSTAccBill_I,documentref,*,EQ,False,
GSTAccBill_I,lineref,*,EQ,False,
ExpAccBill_I_GST,sendername,*,EQ,False,
ExpAccBill_I_GST,senderaccount,*,EQ,False,
ExpAccBill_I_GST,receivername,*,EQ,False,
ExpAccBill_I_GST,ForPrdFrom,*,EQ,False,
ExpAccBill_I_GST,ForPrdTo,*,EQ,False,
ExpAccBill_I_GST,category,*,EQ,False,
ExpAccBill_I_GST,Itemid,*,EQ,False,
ExpAccBill_I_GST,Taxcode,*,EQ,False,
ExpAccBill_I_GST,Linkref,*,EQ,False,
ExpAccBill_I_GST,Linktype,*,EQ,False,
ExpAccBill_I_GST,sectionname,*,EQ,False,
ExpAccBill_I_GST,Documentnumber,*,EQ,False,
ExpAccBill_I_GST,documentref,*,EQ,False,
ExpAccBill_I_GST,costallocationmethod,*,EQ,False,
ExpAccBill_I_GST,lineref,*,EQ,False,
TDSAccBill_I,sendername,*,EQ,False,
TDSAccBill_I,receivername,*,EQ,False,
TDSAccBill_I,ForPrdFrom,*,EQ,False,
TDSAccBill_I,ForPrdTo,*,EQ,False,
TDSAccBill_I,category,*,EQ,False,
TDSAccBill_I,Linkref,*,EQ,False,
TDSAccBill_I,Linkref3,*,EQ,False,
TDSAccBill_I,Linktype,*,EQ,False,
TDSAccBill_I,sectionname,*,EQ,False,
TDSAccBill_I,Documentnumber,*,EQ,False,
TDSAccBill_I,itemid,*,EQ,False,
TDSAccBill_I,documentref,*,EQ,False,
TDSAccBill_I,SectionName,*,EQ,False,
TDSAccBill_I,linkref,*,EQ,False,
TDSAccBill_I,lineref,*,EQ,False,
ExpAccBill_I_TDS,sendername,*,EQ,False,
ExpAccBill_I_TDS,senderaccount,*,EQ,False,
ExpAccBill_I_TDS,receivername,*,EQ,False,
ExpAccBill_I_TDS,ForPrdFrom,*,EQ,False,
ExpAccBill_I_TDS,ForPrdTo,*,EQ,False,
ExpAccBill_I_TDS,category,*,EQ,False,
ExpAccBill_I_TDS,Itemid,*,EQ,False,
ExpAccBill_I_TDS,Linkref,*,EQ,False,
ExpAccBill_I_TDS,Linktype,*,EQ,False,
ExpAccBill_I_TDS,sectionname,*,EQ,False,
ExpAccBill_I_TDS,Documentnumber,*,EQ,False,
ExpAccBill_I_TDS,documentref,*,EQ,False,
ExpAccBill_I_TDS,costallocationmethod,*,EQ,False,
ExpAccBill_I_TDS,lineref,*,EQ,False,
RoundOffAcc,sendername,*,EQ,False,
RoundOffAcc,senderaccount,*,EQ,False,
RoundOffAcc,receivername,*,EQ,False,
RoundOffAcc,documentdate,*,EQ,False,
RoundOffAcc,Documentnumber,*,EQ,False,
RoundOffAcc,InterimID,*,EQ,False,
RoundOffAcc,documentref,*,EQ,False,
RoundOffAcc,lineref,*,EQ,False,
CrAccBill_I,sendername,*,EQ,False,
CrAccBill_I,SenderAccount,*,EQ,False,
CrAccBill_I,receivername,*,EQ,False,
CrAccBill_I,Accountingdate,*,EQ,False,
CrAccBill_I,ForPrdFrom,*,EQ,False,
CrAccBill_I,ForPrdTo,*,EQ,False,
CrAccBill_I,category,*,EQ,False,
CrAccBill_I,Linkref,*,EQ,False,
CrAccBill_I,Linktype,*,EQ,False,
CrAccBill_I,Documentnumber,*,EQ,False,
CrAccBill_I,itemid,*,EQ,False,
CrAccBill_I,documentref,*,EQ,False,
CrAccBill_I,lineref,*,EQ,False,
AccountingJournal,SchemaClasses,"[""ExpAccBill_I"", ""GSTAccBill_I"", ""ExpAccBill_I_GST"", ""ExpAccBill_I_TDS"", ""TDSAccBill_I"", ""RoundOffAcc"", ""CrAccBill_I""]",IN,False,
ProvisionReversalCostAllocation,documentnumber,*,EQ,False,
ProvisionReversalCostAllocation,linktype,"[""GoodsReceipt"", ""GoodsReceiptDirectCapitalization""]",NI,False,
ProvisionReversalCostAllocation,Linkref,*,EQ,False,
ProvisionReversalCostAllocation,ForPrdFrom,*,EQ,False,
ProvisionReversalCostAllocation,ForPrdTo,*,EQ,False,
ProvisionReversalCostAllocation,documentref,*,EQ,False,
ProvisionReversalCostAllocation,transactionstatus,*,EQ,False,
ProvisionReversalCostAllocation,itemid,*,EQ,False,
ProvisionReversalCostAllocation,Reference3,*,EQ,False,
BillCostAllocation,ForPrdFrom,*,EQ,False,
BillCostAllocation,ForPrdTo,*,EQ,False,
BillCostAllocation,interimid,*,EQ,False,
BillCostAllocation,documentref,*,EQ,False,
BillCostAllocation,linktype,*,EQ,False,
BillCostAllocation,linkref,*,EQ,False,
BillCostAllocation,transactionstatus,*,EQ,False,
BillCostAllocation,documentnumber,*,EQ,False,
BillCostAllocation,CostAllocationMethod,*,EQ,False,
BillCostAllocation,category,*,EQ,False,
AmortizeBill_I,sendername,*,EQ,False,
AmortizeBill_I,senderaccount,*,EQ,False,
