source_schema,source_class,source_component,ref_type,target_schema,target_column,filter_json
SC00002,TCostAllocationValue,TCostAllocationValue,SUMFROMSCHEMA,BillCostAllocation1,,"{\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""documentnumber\"":\""documentnumber\"",\""linkref\"":\""linkref\""}"
SC00002,BillWF,,GETGROUPFROMSCHEMA2,CostAllocationMaster,LOB,"GETGROUPFROMSCHEMA2(CostAllocationMaster;LOB;{""costallocationmethod"":""costallocationmethod"",  ""costallocationcategory"":{""equality"":""EQ"",""value"":""Actual""}})"
SC00002,BillWF,,GETGROUPFROMSCHEMA2,AP,ActivityCode,"GETGROUPFROMSCHEMA2(AP;ActivityCode;{\\\""Function\\\"":\\\""Function\\\"",\\\""LOB\\\"":\\\""LOB\\\"" })"
SC00002,BillWF,,GETGROUPFROMSCHEMA2,AP,ActivityName,"GETGROUPFROMSCHEMA2(AP;ActivityName;{\\\""Function\\\"":\\\""Function\\\"",\\\""LOB\\\"":\\\""LOB\\\"",\\\""ActivityCode\\\"":\\\""ActivityCode\\\"" })"
SC00002,BillWF,,GETGROUPFROMSCHEMA2,AP,Dependency,"GETGROUPFROMSCHEMA2(AP;Dependency;{\\\""Function\\\"":\\\""Function\\\"",\\\""LOB\\\"":\\\""LOB\\\"",\\\""ActivityCode\\\"":\\\""ActivityCode\\\"" })"
SC00002,BillWF,,GETGROUPFROMSCHEMA2,AP,ActivityStatus,"GETGROUPFROMSCHEMA2(AP;ActivityStatus;{\\\""Function\\\"":\\\""Function\\\"",\\\""LOB\\\"":\\\""LOB\\\"",\\\""ActivityCode\\\"":\\\""ActivityCode\\\"" })"
SC00002,BillWF,,GETGROUPFROMSCHEMA2,AP,ActivityType,"GETGROUPFROMSCHEMA2(AP;ActivityType;{\\\""Function\\\"":\\\""Function\\\"",\\\""LOB\\\"":\\\""LOB\\\"",\\\""ActivityCode\\\"":\\\""ActivityCode\\\"" })"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,Bill_H,Accountingdate,"GETGROUPFROMSCHEMA2(Bill_H;Accountingdate;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,Bill_H,documenttype,"GETGROUPFROMSCHEMA2(Bill_H;documenttype;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,ProcessedTDSAmtinGSE,AccountType,"GETGROUPFROMSCHEMA2(ProcessedTDSAmtinGSE;AccountType;{\""Linkref\"":\""createdid\"",\""Itemid\"":\""Itemid\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,ProcessedTDSAmtinGSE,itemtype,"GETGROUPFROMSCHEMA2(ProcessedTDSAmtinGSE;itemtype;{\""Linkref\"":\""createdid\"",\""Itemid\"":\""Itemid\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,ProcessedTDSAmtinGSE,coa,"GETGROUPFROMSCHEMA2(ProcessedTDSAmtinGSE;coa;{\""Linkref\"":\""createdid\"",\""Itemid\"":\""Itemid\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,ProcessedTDSAmtinGSE,AccountCode,"GETGROUPFROMSCHEMA2(ProcessedTDSAmtinGSE;AccountCode;{\""Linkref\"":\""createdid\"",\""Itemid\"":\""Itemid\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,ProcessedTDSAmtinGSE,LedgerName,"GETGROUPFROMSCHEMA2(ProcessedTDSAmtinGSE;LedgerName;{\""Linkref\"":\""createdid\"",\""Itemid\"":\""Itemid\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,ProcessedTDSAmtinGSE,Accountgroup,"GETGROUPFROMSCHEMA2(ProcessedTDSAmtinGSE;Accountgroup;{\""Linkref\"":\""createdid\"",\""Itemid\"":\""Itemid\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,ProcessedTDSAmtinGSE,Accountclass,"GETGROUPFROMSCHEMA2(ProcessedTDSAmtinGSE;Accountclass;{\""Linkref\"":\""createdid\"",\""Itemid\"":\""Itemid\""})"
SC00002,ReversalTDS,,GETGROUPFROMSCHEMA2,Bill_Item,Reference3,"GETGROUPFROMSCHEMA2(Bill_Item;Reference3;{\""documentnumber\"":\""documentnumber\"",\""Linkref\"":\""Linkref\""})"
SC00002,ReversalTDS,ExchangeRate,FETCHFROMSCHEMA,Bill_Item,,"{\""documentnumber\"":\""documentnumber\""}"
SC00002,ReversalTDS,Value,SUMFROMSCHEMA,ProcessedTDSAmtinGSE,,"{\""createdid\"":\""linkref\"",\""Itemid\"":\""Itemid\""}"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,Bill_H,Accountingdate,"GETGROUPFROMSCHEMA2(Bill_H;Accountingdate;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,Bill_H,documenttype,"GETGROUPFROMSCHEMA2(Bill_H;documenttype;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,IM,itemtype,"GETGROUPFROMSCHEMA2(IM;itemtype;{\""itemid\"":\""itemid\"" })"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,IM,accountgroup,"GETGROUPFROMSCHEMA2(IM;accountgroup;{\""itemid\"":\""itemid\""})"
