schema_name,component_name,model_id,component_type,component_type_value,component_expr,criteria_count
Bill_Item,AccountBaseValue,,ACCOUNTING-VALUE,COST,,1
Bill_Item,NAccBaseValue,MATH,MATH,COST,-1*AccountBaseValue,1
Bill_Item,PAccBaseValue,MATH,MATH,COST,AccountBaseValue,1
Bill_Item,SignWAccBaseValue,MATH,MATH,COST,PAccBaseValue + NAccBaseValue,1
Bill_Item,PercentageofTDS,MATH,MATH,COST,PercentageofTDS,1
Bill_Item,cgstvalue,MATH,MATH,COST,cgstvalue,1
Bill_Item,sgstvalue,MATH,MATH,COST,sgstvalue,1
Bill_Item,igstvalue,MATH,MATH,COST,igstvalue,1
CostAllocationMaster,CNT_CostAllocationValue,MATH,MATH,COST,CostAllocationValue,1
CostAllocationMaster,PERC_CostAllocationValue,MATH,MATH,COST,CostAllocationValue,1
CostAllocationMaster,CostAllocationParameterValue,MATH,MATH,COST,PERC_CostAllocationValue + CNT_CostAllocationValue,1
CostAllocationMaster,costallocationamount,MATH,MATH,COST,costallocationamount,1
BillCostAllocation1,CostAllocationParameterValue,CostAllocationMaster,FETCHFROMSCHEMA,COST,"{\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""LOB\"":\""LOB\"",\""costallocationcategory\"":\""costallocationcategory\"",\""ForPrdFrom\"":\""CAPrdFrom\""}",1
BillCostAllocation1,costallocationamount,CostAllocationMaster,FETCHFROMSCHEMA,COST,"{\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""LOB\"":\""LOB\"",\""costallocationcategory\"":\""costallocationcategory\"",\""ForPrdFrom\"":\""CAPrdFrom\""}",1
TCostAllocationValue,TCostAllocationValue,BillCostAllocation1,SUMFROMSCHEMA,COST,"{\""CostAllocationMethod\"":\""CostAllocationMethod\"",\""documentnumber\"":\""documentnumber\"",\""linkref\"":\""linkref\""}",1
AP,SNO,MATH,MATH,COST,SNo,1
BillWF,DocumentValue,MATH,MATH,COST,1,1
AD,Parameter1,MATH,MATH,COST,1*Parameter1,1
AD,SingleTresholdLimit,MATH,MATH,COST,SingleTresholdLimit,1
AD,CummThresholdLimit,MATH,MATH,COST,CummThresholdLimit,1
IM,PercentageofTDS,MATH,MATH,COST,PercentageofTDS,1
VM,SNO,MATH,MATH,COST,1,1
ProcessedTDSAmtinGSE,amountinlocalcurrency,MATH,MATH,COST,amountinlocalcurrency,1
ReversalTDS,journalsno,MATH,MATH,COST,1,1
ReversalTDS,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
ReversalTDS,Value,ProcessedTDSAmtinGSE,SUMFROMSCHEMA,COST,"{\""createdid\"":\""linkref\"",\""Itemid\"":\""Itemid\""}",1
ReversalTDS,AmountinLocalCurrency,MATH,MATH,COST,-(Value),1
ReversalTDS,AmountinTransactionCurrency,MATH,MATH,COST,-(Value/ExchangeRate),1
ReversalProvisionExpAcc,journalsno,MATH,MATH,COST,1,1
ReversalProvisionExpAcc,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
ReversalProvisionExpAcc,ProvisionValue,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""Linkref\"",\""Itemid\"":\""Itemid\""}",1
ReversalProvisionExpAcc,BillValue,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""Itemid\"":\""Itemid\"",\""LinkRef\"":\""LinkRef\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\""}",1
ReversalProvisionExpAcc,currentprovisionvalue,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""Linkref\"",\""Itemid\"":\""Itemid\""}",1
